team,home_status,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,goal_diff,won
Montréal Canadiens,home,2,34,8,8,0.0,0.0,2.0,38.2,10,14,36,-2,no
Pittsburgh Penguins,away,5,33,6,6,0.0,0.0,4.0,60.8,14,3,18,3,yes
New Jersey Devils,home,2,22,18,8,33.3,1.0,3.0,39.2,6,25,26,-3,no
Boston Bruins,away,2,29,12,6,33.3,1.0,3.0,38.1,3,12,23,2,yes
Philadelphia Flyers,home,0,36,11,6,0.0,0.0,3.0,61.9,5,15,22,-2,no
Carolina Hurricanes,away,5,36,6,26,75.0,3.0,4.0,52.9,1,10,13,3,yes
Detroit Red Wings,home,2,25,11,24,0.0,0.0,5.0,47.1,8,18,10,-3,no
Florida Panthers,away,2,34,23,4,100.0,1.0,1.0,47.7,13,6,11,1,yes
St. Louis Blues,home,1,27,15,2,0.0,0.0,2.0,52.3,8,10,6,-1,no
New York Rangers,away,4,27,14,15,0.0,0.0,2.0,50.0,4,11,17,2,yes
Dallas Stars,home,2,33,14,13,33.3,1.0,3.0,50.0,9,10,23,-2,no
New York Islanders,away,4,49,11,4,0.0,0.0,3.0,48.4,5,6,38,0,no
Vancouver Canucks,home,4,34,17,6,50.0,1.0,2.0,51.6,9,10,36,0,no
Ottawa Senators,away,2,42,8,4,0.0,0.0,5.0,47.1,7,11,33,-3,no
Anaheim Ducks,home,5,15,20,10,100.0,2.0,2.0,52.9,7,10,19,3,yes
San Jose Sharks,away,2,36,12,6,33.3,1.0,3.0,46.8,7,11,35,-4,no
Chicago Blackhawks,home,6,45,25,6,66.7,2.0,3.0,53.2,9,14,18,4,yes
Winnipeg Jets,away,4,25,9,2,0.0,0.0,0.0,40.9,9,7,20,2,yes
Edmonton Oilers,home,2,38,14,0,0.0,0.0,1.0,59.1,6,13,18,-2,no
New York Rangers,away,2,32,15,12,0.0,0.0,4.0,49.1,6,2,13,-1,no
Colorado Avalanche,home,3,28,20,10,40.0,2.0,5.0,50.9,16,8,20,1,yes
Ottawa Senators,away,2,26,16,13,0.0,0.0,2.0,53.3,2,6,21,-1,no
Los Angeles Kings,home,3,39,12,9,25.0,1.0,4.0,46.7,7,6,14,1,yes
Nashville Predators,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Toronto Maple Leafs,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Buffalo Sabres,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Montréal Canadiens,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Philadelphia Flyers,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Tampa Bay Lightning,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
Carolina Hurricanes,away,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
New Jersey Devils,home,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,no
