team,home_status,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,goal_diff,won
New Jersey Devils,home,4,30,10,8,0.0,0.0,1.0,50.8,9,8,12,-2,no
Vegas Golden Knights,away,1,42,11,9,0.0,0.0,4.0,41.5,4,4,20,-2,no
Los Angeles Kings,home,3,31,20,13,50.0,1.0,2.0,58.5,5,5,22,2,yes
Buffalo Sabres,away,3,19,18,8,0.0,0.0,2.0,55.6,4,7,15,-2,no
New York Rangers,home,5,40,15,6,66.7,2.0,3.0,44.4,7,11,18,2,yes
Carolina Hurricanes,away,3,28,11,6,0.0,0.0,2.0,48.9,5,7,21,3,yes
Columbus Blue Jackets,home,0,19,12,4,0.0,0.0,3.0,51.1,3,9,33,-3,no
Edmonton Oilers,away,0,17,18,13,0.0,0.0,3.0,50.9,2,3,33,-4,no
Montréal Canadiens,home,4,32,8,11,0.0,0.0,4.0,49.1,2,14,23,4,yes
Calgary Flames,away,1,36,11,4,0.0,0.0,1.0,63.3,7,10,29,-1,no
Ottawa Senators,home,2,23,18,2,0.0,0.0,2.0,36.7,9,18,31,1,yes
Winnipeg Jets,away,4,29,15,2,0.0,0.0,1.0,53.6,4,4,15,4,yes
Vancouver Canucks,home,0,22,20,2,0.0,0.0,1.0,46.4,9,11,19,-4,no
Anaheim Ducks,away,1,25,9,6,0.0,0.0,3.0,52.7,7,6,9,-1,no
Minnesota Wild,home,2,23,17,6,33.3,1.0,3.0,47.3,6,15,13,1,yes
Colorado Avalanche,away,5,35,10,4,0.0,0.0,3.0,55.3,5,5,16,4,yes
Arizona Coyotes,home,1,25,23,6,50.0,1.0,2.0,44.7,3,8,32,-4,no
Los Angeles Kings,away,1,42,12,9,0.0,0.0,5.0,42.9,7,10,8,-1,no
San Jose Sharks,home,2,23,16,15,0.0,0.0,2.0,57.1,9,6,25,1,yes
New Jersey Devils,away,4,32,14,6,25.0,1.0,4.0,43.3,6,10,13,1,yes
Philadelphia Flyers,home,3,33,16,8,33.3,1.0,3.0,56.7,4,13,19,-1,no
Florida Panthers,away,2,35,16,6,50.0,1.0,2.0,50.0,12,13,42,-1,no
Chicago Blackhawks,home,3,32,19,4,33.3,1.0,3.0,50.0,11,15,24,1,yes
Detroit Red Wings,away,0,31,9,6,0.0,0.0,3.0,49.1,5,9,11,-2,no
Nashville Predators,home,2,34,13,8,50.0,1.0,2.0,50.9,7,7,7,2,yes
Tampa Bay Lightning,away,2,26,15,8,33.3,1.0,3.0,52.3,6,10,19,1,yes
Dallas Stars,home,1,17,16,6,25.0,1.0,4.0,47.7,3,11,26,-1,no
Colorado Avalanche,away,4,39,10,8,25.0,1.0,4.0,47.9,3,4,25,0,no
Arizona Coyotes,home,4,32,19,8,0.0,0.0,4.0,52.1,3,12,35,0,no
Buffalo Sabres,away,2,28,16,10,0.0,0.0,3.0,46.9,4,2,33,-3,no
Pittsburgh Penguins,home,5,42,4,6,0.0,0.0,5.0,53.1,6,7,17,3,yes
Edmonton Oilers,away,4,35,16,4,0.0,0.0,1.0,63.5,6,15,24,1,yes
Montréal Canadiens,home,3,28,13,2,0.0,0.0,2.0,36.5,7,17,21,-1,no
Calgary Flames,away,1,29,9,6,0.0,0.0,3.0,39.5,4,14,26,-2,no
Ottawa Senators,home,3,31,20,6,0.0,0.0,3.0,60.5,6,9,35,2,yes
Winnipeg Jets,away,5,36,20,9,66.7,2.0,3.0,46.3,3,3,17,4,yes
Vancouver Canucks,home,1,39,9,11,0.0,0.0,2.0,53.7,8,14,20,-4,no
Anaheim Ducks,away,2,30,9,26,0.0,0.0,1.0,64.4,6,3,16,-1,no
Minnesota Wild,home,3,26,13,12,33.3,1.0,3.0,35.6,3,12,11,1,yes
Los Angeles Kings,away,2,44,12,6,0.0,0.0,2.0,51.7,11,8,28,-2,no
San Jose Sharks,home,4,28,16,4,0.0,0.0,3.0,48.3,11,6,34,2,yes
New York Islanders,away,4,27,13,8,0.0,0.0,1.0,44.4,6,7,29,1,yes
Boston Bruins,home,3,32,9,2,25.0,1.0,4.0,55.6,4,7,25,-1,no
New York Rangers,away,8,22,18,28,60.0,3.0,5.0,50.0,3,6,22,5,yes
Philadelphia Flyers,home,3,44,8,42,66.7,2.0,3.0,50.0,7,9,27,-5,no
New Jersey Devils,away,3,24,11,4,33.3,1.0,3.0,53.3,11,2,9,-1,no
Washington Capitals,home,4,22,17,6,0.0,0.0,2.0,46.7,9,8,26,1,yes
Carolina Hurricanes,away,4,33,13,6,0.0,0.0,2.0,54.4,5,4,18,1,yes
Columbus Blue Jackets,home,3,36,11,4,33.3,1.0,3.0,45.6,2,14,27,-1,no
Florida Panthers,away,0,41,9,21,0.0,0.0,6.0,50.9,7,9,36,-3,no
Chicago Blackhawks,home,3,21,22,17,33.3,1.0,3.0,49.1,11,12,32,3,yes
Detroit Red Wings,away,1,21,10,8,25.0,1.0,4.0,50.9,4,8,10,-6,no
Nashville Predators,home,7,30,9,8,25.0,1.0,4.0,49.1,4,6,10,6,yes
Toronto Maple Leafs,away,3,41,9,6,0.0,0.0,3.0,36.8,4,13,15,1,yes
Ottawa Senators,home,2,31,17,6,0.0,0.0,3.0,63.2,3,18,29,-1,no
Tampa Bay Lightning,away,3,27,13,11,0.0,0.0,0.0,46.3,1,13,23,-1,no
Dallas Stars,home,4,41,12,5,33.3,1.0,3.0,53.7,3,12,23,1,yes
Vegas Golden Knights,away,1,19,12,8,0.0,0.0,1.0,56.7,5,3,23,-4,no
Colorado Avalanche,home,5,32,20,2,25.0,1.0,4.0,43.3,10,2,16,4,yes
New Jersey Devils,away,0,24,10,4,0.0,0.0,3.0,53.4,8,11,10,-4,no
Washington Capitals,home,4,31,15,6,0.0,0.0,2.0,46.6,12,10,14,4,yes
Anaheim Ducks,away,4,24,10,14,0.0,0.0,1.0,37.8,11,9,18,3,yes
St. Louis Blues,home,1,34,7,12,0.0,0.0,2.0,62.2,6,9,17,-3,no
Edmonton Oilers,away,4,22,14,2,66.7,2.0,3.0,38.6,10,23,26,1,yes
Montréal Canadiens,home,3,29,8,6,0.0,0.0,1.0,61.4,6,15,20,-1,no
Winnipeg Jets,away,3,29,22,8,33.3,2.0,6.0,50.0,11,5,11,1,yes
Calgary Flames,home,2,27,9,12,25.0,1.0,4.0,50.0,14,13,18,-1,no
San Jose Sharks,away,2,22,20,8,50.0,1.0,2.0,52.0,5,4,21,-3,no
Arizona Coyotes,home,5,28,16,4,25.0,1.0,4.0,48.0,8,10,15,3,yes
New York Islanders,away,2,18,14,10,100.0,1.0,1.0,32.7,9,13,41,-1,no
Boston Bruins,home,3,38,9,6,25.0,1.0,4.0,67.3,9,9,25,1,yes
New York Rangers,away,1,25,15,6,25.0,1.0,4.0,34.0,3,12,28,-1,no
Philadelphia Flyers,home,2,37,11,8,33.3,1.0,3.0,66.0,7,11,31,1,yes
Tampa Bay Lightning,away,3,22,10,14,0.0,0.0,4.0,60.0,3,14,34,-1,no
Carolina Hurricanes,home,4,40,15,10,33.3,2.0,6.0,40.0,1,6,23,1,yes
Buffalo Sabres,away,0,36,15,8,0.0,0.0,4.0,43.1,2,9,30,-4,no
Pittsburgh Penguins,home,4,31,15,8,50.0,2.0,4.0,56.9,17,7,23,4,yes
Columbus Blue Jackets,away,1,22,16,8,0.0,0.0,2.0,47.9,5,7,25,-2,no
Detroit Red Wings,home,3,34,10,6,0.0,0.0,3.0,52.1,4,5,15,2,yes
Nashville Predators,away,3,34,17,4,0.0,0.0,0.0,47.9,7,2,27,2,yes
Chicago Blackhawks,home,1,30,14,0,0.0,0.0,2.0,52.1,6,6,22,-2,no
Anaheim Ducks,away,3,24,14,6,0.0,0.0,1.0,52.6,2,7,23,1,yes
St. Louis Blues,home,2,40,13,2,33.3,1.0,3.0,47.4,8,11,21,-1,no
Edmonton Oilers,away,3,20,16,4,0.0,0.0,1.0,33.3,6,6,32,-1,no
Toronto Maple Leafs,home,4,31,12,2,0.0,0.0,2.0,66.7,7,18,13,1,yes
Winnipeg Jets,away,2,24,10,4,0.0,0.0,2.0,51.8,10,10,19,-2,no
Calgary Flames,home,4,33,12,4,50.0,1.0,2.0,48.2,6,15,16,2,yes
Florida Panthers,away,4,28,17,6,33.3,1.0,3.0,56.1,2,5,12,1,yes
Dallas Stars,home,3,34,16,6,0.0,0.0,3.0,43.9,4,13,20,-1,no
Vegas Golden Knights,away,3,34,18,9,25.0,1.0,4.0,37.0,3,4,18,1,yes
Colorado Avalanche,home,2,24,11,13,0.0,0.0,2.0,63.0,5,4,8,-1,no
San Jose Sharks,away,0,34,14,29,0.0,0.0,1.0,52.9,4,10,35,-4,no
Arizona Coyotes,home,4,27,11,6,16.7,1.0,6.0,47.1,5,5,30,4,yes
New Jersey Devils,away,1,29,14,8,0.0,0.0,4.0,35.7,7,12,18,1,yes
Boston Bruins,home,0,40,10,8,0.0,0.0,4.0,64.3,6,5,23,-1,no
New York Rangers,away,4,20,7,6,25.0,1.0,4.0,44.6,7,8,21,-1,no
Washington Capitals,home,5,22,20,8,0.0,0.0,3.0,55.4,6,7,36,1,yes
Tampa Bay Lightning,away,0,24,17,4,0.0,0.0,1.0,52.8,7,8,32,-4,no
Carolina Hurricanes,home,4,28,14,2,0.0,0.0,2.0,47.2,16,12,27,4,yes
Columbus Blue Jackets,away,1,17,12,4,0.0,0.0,1.0,56.0,2,2,31,-3,no
Detroit Red Wings,home,4,29,20,4,0.0,0.0,1.0,44.0,3,3,18,3,yes
Nashville Predators,away,3,31,13,8,0.0,0.0,1.0,45.3,8,13,39,1,yes
Chicago Blackhawks,home,2,29,14,4,0.0,0.0,3.0,54.7,8,13,25,-1,no
Ottawa Senators,away,4,15,19,8,25.0,1.0,4.0,54.3,6,18,17,4,yes
Montréal Canadiens,home,0,23,11,8,0.0,0.0,4.0,45.7,4,10,36,-4,no
Florida Panthers,away,4,23,17,13,25.0,1.0,4.0,47.5,2,15,23,3,yes
Dallas Stars,home,1,34,12,15,33.3,1.0,3.0,52.5,4,4,29,-3,no
Philadelphia Flyers,away,4,36,11,4,0.0,0.0,2.0,54.2,2,2,10,1,yes
Buffalo Sabres,home,3,32,16,4,0.0,0.0,2.0,45.8,4,8,12,-1,no
New York Islanders,away,1,25,9,6,25.0,1.0,4.0,43.5,3,2,52,-1,no
Pittsburgh Penguins,home,2,22,14,8,33.3,1.0,3.0,56.5,6,8,23,1,yes
Arizona Coyotes,away,3,19,8,13,28.6,2.0,7.0,42.0,10,10,17,2,yes
St. Louis Blues,home,1,25,11,19,0.0,0.0,4.0,58.0,7,8,21,-2,no
Edmonton Oilers,away,3,23,8,2,0.0,0.0,1.0,44.2,6,17,33,1,yes
Toronto Maple Leafs,home,2,31,12,2,0.0,0.0,1.0,55.8,9,19,22,-1,no
Winnipeg Jets,away,5,29,8,8,0.0,0.0,2.0,50.0,6,10,18,4,yes
Calgary Flames,home,1,30,11,4,25.0,1.0,4.0,50.0,10,13,23,-4,no
Anaheim Ducks,away,2,15,11,31,0.0,0.0,2.0,50.0,6,1,10,-3,no
Colorado Avalanche,home,5,48,13,13,16.7,1.0,6.0,50.0,3,4,8,3,yes
Los Angeles Kings,away,1,25,15,6,0.0,0.0,3.0,59.5,2,2,19,-3,no
Vegas Golden Knights,home,4,24,19,6,33.3,1.0,3.0,40.5,3,3,18,3,yes
Minnesota Wild,away,3,25,19,7,0.0,0.0,0.0,41.5,9,7,17,0,no
San Jose Sharks,home,3,39,17,5,0.0,0.0,1.0,58.5,8,11,20,0,no
New Jersey Devils,away,4,35,12,6,0.0,0.0,3.0,49.3,11,8,22,0,no
Boston Bruins,home,4,48,8,8,50.0,1.0,2.0,50.7,12,3,24,0,no
Philadelphia Flyers,away,1,32,6,0,0.0,0.0,3.0,57.6,0,1,15,-5,no
Buffalo Sabres,home,6,27,13,6,0.0,0.0,0.0,42.4,13,3,13,5,yes
Washington Capitals,away,2,32,11,16,33.3,1.0,3.0,55.8,6,6,14,-3,no
New York Rangers,home,5,27,13,6,0.0,0.0,2.0,44.2,5,7,19,3,yes
Columbus Blue Jackets,away,3,21,13,2,0.0,0.0,0.0,46.3,0,0,23,2,yes
Tampa Bay Lightning,home,1,38,6,0,0.0,0.0,1.0,53.7,4,2,27,-2,no
Detroit Red Wings,away,1,36,14,8,25.0,1.0,4.0,51.0,5,10,27,-3,no
Florida Panthers,home,4,33,11,8,0.0,0.0,4.0,49.0,17,11,29,3,yes
New York Islanders,away,3,32,12,8,0.0,0.0,4.0,45.3,5,2,37,-3,no
Pittsburgh Penguins,home,6,21,4,8,50.0,2.0,4.0,54.7,9,13,22,3,yes
Carolina Hurricanes,away,1,32,8,4,0.0,0.0,1.0,64.1,7,7,27,-1,no
Chicago Blackhawks,home,2,16,19,2,50.0,1.0,2.0,35.9,7,11,28,1,yes
Dallas Stars,away,2,35,6,2,100.0,1.0,1.0,59.3,4,6,28,-1,no
Nashville Predators,home,3,26,10,2,100.0,1.0,1.0,40.7,4,10,23,1,yes
Montréal Canadiens,away,1,31,16,6,0.0,0.0,1.0,45.2,4,14,31,-4,no
Ottawa Senators,home,5,34,20,4,0.0,0.0,2.0,54.8,2,16,37,4,yes
Arizona Coyotes,away,3,26,17,15,50.0,2.0,4.0,53.6,3,6,22,0,no
St. Louis Blues,home,3,43,28,15,25.0,1.0,4.0,46.4,5,6,21,0,no
Toronto Maple Leafs,away,3,26,17,8,0.0,0.0,5.0,49.2,5,16,14,2,yes
Winnipeg Jets,home,1,27,11,10,25.0,1.0,4.0,50.8,10,6,27,-2,no
Calgary Flames,away,6,36,14,15,0.0,0.0,6.0,49.3,4,4,13,1,yes
Vancouver Canucks,home,5,35,19,29,50.0,2.0,4.0,50.7,6,6,8,-1,no
Anaheim Ducks,away,4,22,24,8,0.0,0.0,2.0,53.2,6,7,19,-4,no
Colorado Avalanche,home,8,36,12,6,66.7,2.0,3.0,46.8,14,7,21,4,yes
Los Angeles Kings,away,4,30,16,8,0.0,0.0,5.0,49.1,3,1,16,2,yes
Vegas Golden Knights,home,2,42,15,25,0.0,0.0,3.0,50.9,7,5,18,-2,no
Minnesota Wild,away,2,28,18,8,0.0,0.0,2.0,49.1,5,8,28,-2,no
San Jose Sharks,home,4,33,16,6,33.3,1.0,3.0,50.9,13,9,34,2,yes
Pittsburgh Penguins,away,4,23,12,6,0.0,0.0,1.0,42.6,15,7,29,3,yes
Boston Bruins,home,1,31,15,4,0.0,0.0,2.0,57.4,5,5,35,-3,no
New York Rangers,away,3,47,7,2,0.0,0.0,4.0,57.8,4,6,8,1,yes
Buffalo Sabres,home,2,23,13,8,0.0,0.0,1.0,42.2,11,3,17,-1,no
Washington Capitals,away,4,22,8,19,100.0,1.0,1.0,50.0,2,9,26,-4,no
New York Islanders,home,8,33,15,17,0.0,0.0,2.0,50.0,10,9,20,4,yes
Columbus Blue Jackets,away,2,38,11,8,0.0,0.0,1.0,51.1,0,0,23,-1,no
Tampa Bay Lightning,home,3,34,12,4,33.3,1.0,3.0,48.9,2,2,27,1,yes
Detroit Red Wings,away,2,27,9,20,0.0,0.0,2.0,50.0,5,8,21,-1,no
Florida Panthers,home,3,36,15,16,25.0,1.0,4.0,50.0,6,12,32,1,yes
Carolina Hurricanes,away,4,31,14,6,0.0,0.0,1.0,52.8,6,12,33,1,yes
Chicago Blackhawks,home,3,25,13,2,0.0,0.0,3.0,47.2,9,11,17,-1,no
Dallas Stars,away,4,31,10,11,50.0,1.0,2.0,52.7,4,4,26,3,yes
Nashville Predators,home,1,22,11,19,0.0,0.0,3.0,47.3,4,14,21,-3,no
Montréal Canadiens,away,4,38,8,4,0.0,0.0,3.0,48.2,4,6,30,3,yes
Ottawa Senators,home,1,23,6,6,50.0,1.0,2.0,51.8,4,15,35,-3,no
Minnesota Wild,away,2,37,19,10,33.3,1.0,3.0,49.1,7,1,13,0,no
Vegas Golden Knights,home,2,37,17,8,0.0,0.0,4.0,50.9,12,6,21,0,no
Washington Capitals,away,2,40,14,4,0.0,0.0,2.0,56.7,7,9,11,1,yes
New Jersey Devils,home,1,23,12,4,0.0,0.0,2.0,43.3,6,14,11,-1,no
Toronto Maple Leafs,away,1,38,17,4,0.0,0.0,3.0,57.7,4,10,17,0,no
Winnipeg Jets,home,1,32,11,6,0.0,0.0,2.0,42.3,8,6,38,0,no
Calgary Flames,away,2,26,14,12,0.0,0.0,2.0,56.8,8,17,39,-1,no
Edmonton Oilers,home,3,25,13,6,40.0,2.0,5.0,43.2,8,17,22,1,yes
Arizona Coyotes,away,4,31,11,14,0.0,0.0,2.0,43.8,6,9,30,2,yes
Anaheim Ducks,home,2,29,8,14,0.0,0.0,2.0,56.2,6,13,22,-2,no
San Jose Sharks,away,3,36,16,4,0.0,0.0,3.0,45.2,3,1,21,3,yes
Los Angeles Kings,home,0,30,15,6,0.0,0.0,2.0,54.8,3,6,23,-3,no
Pittsburgh Penguins,away,5,28,7,8,33.3,1.0,3.0,40.4,12,12,25,-2,no
Boston Bruins,home,7,28,8,10,33.3,1.0,3.0,59.6,13,3,28,2,yes
New York Rangers,away,2,30,17,4,33.3,1.0,3.0,45.6,0,6,18,0,no
Buffalo Sabres,home,2,29,7,6,0.0,0.0,2.0,54.4,9,6,4,0,no
Philadelphia Flyers,away,2,32,6,15,0.0,0.0,3.0,45.0,6,6,25,0,no
New York Islanders,home,2,24,14,11,20.0,1.0,5.0,55.0,3,8,19,0,no
Dallas Stars,away,3,25,12,2,50.0,1.0,2.0,39.7,2,9,37,1,yes
Carolina Hurricanes,home,2,43,11,4,0.0,0.0,1.0,60.3,1,18,27,-1,no
Detroit Red Wings,away,1,26,19,6,0.0,0.0,2.0,59.6,5,2,19,-1,no
Tampa Bay Lightning,home,2,29,15,4,0.0,0.0,3.0,40.4,3,2,24,1,yes
Columbus Blue Jackets,away,2,46,17,8,0.0,0.0,1.0,47.4,15,6,31,-3,no
Florida Panthers,home,5,39,14,2,0.0,0.0,4.0,52.6,9,14,19,3,yes
Chicago Blackhawks,away,0,41,11,2,0.0,0.0,4.0,43.1,7,10,6,-3,no
Nashville Predators,home,3,21,10,8,100.0,1.0,1.0,56.9,7,12,17,3,yes
Ottawa Senators,away,6,32,16,15,50.0,1.0,2.0,41.3,9,13,27,3,yes
Montréal Canadiens,home,3,38,11,9,20.0,1.0,5.0,58.7,6,10,33,-3,no
Vancouver Canucks,away,6,27,12,20,0.0,0.0,4.0,53.4,6,10,23,3,yes
Edmonton Oilers,home,3,42,5,18,20.0,1.0,5.0,46.6,5,17,26,-3,no
St. Louis Blues,away,1,28,14,13,0.0,0.0,3.0,48.2,6,2,18,-1,no
Colorado Avalanche,home,2,34,7,11,0.0,0.0,4.0,51.8,6,5,6,1,yes
Minnesota Wild,away,2,27,26,6,33.3,1.0,3.0,50.0,2,2,23,1,yes
Vegas Golden Knights,home,1,28,11,6,0.0,0.0,3.0,50.0,5,7,16,-1,no
San Jose Sharks,away,3,23,9,4,0.0,0.0,2.0,53.3,1,2,20,1,yes
Los Angeles Kings,home,2,37,14,4,0.0,0.0,2.0,46.7,3,6,15,-1,no
Washington Capitals,away,5,19,15,8,33.3,1.0,3.0,47.0,9,4,22,1,yes
New Jersey Devils,home,4,39,6,6,0.0,0.0,4.0,53.0,9,3,18,-1,no
Dallas Stars,away,0,28,20,4,0.0,0.0,0.0,40.8,3,15,35,-1,no
Carolina Hurricanes,home,1,38,14,2,0.0,0.0,1.0,59.2,1,18,54,1,yes
Detroit Red Wings,away,5,18,18,6,50.0,1.0,2.0,48.1,3,1,24,4,yes
Tampa Bay Lightning,home,1,28,9,4,0.0,0.0,3.0,51.9,4,0,21,-4,no
Columbus Blue Jackets,away,0,32,15,2,0.0,0.0,3.0,37.9,9,9,29,-3,no
Florida Panthers,home,3,35,18,6,0.0,0.0,1.0,62.1,11,17,17,3,yes
Chicago Blackhawks,away,2,32,10,10,20.0,1.0,5.0,48.1,3,9,22,-3,no
Nashville Predators,home,5,30,16,20,0.0,0.0,5.0,51.9,7,12,19,3,yes
Vancouver Canucks,away,3,31,18,6,0.0,0.0,1.0,35.5,14,10,17,2,yes
Winnipeg Jets,home,1,40,13,2,0.0,0.0,3.0,64.5,12,10,25,-2,no
Toronto Maple Leafs,away,4,30,17,2,0.0,0.0,1.0,52.0,2,9,13,2,yes
Calgary Flames,home,2,34,5,2,0.0,0.0,1.0,48.0,9,8,24,-2,no
Arizona Coyotes,away,3,31,5,9,0.0,0.0,0.0,54.9,8,7,29,1,yes
Anaheim Ducks,home,2,20,13,7,0.0,0.0,1.0,45.1,3,11,25,-1,no
Boston Bruins,away,2,32,17,4,0.0,0.0,4.0,50.9,4,7,20,-1,no
Philadelphia Flyers,home,3,23,15,8,50.0,1.0,2.0,49.1,4,11,24,1,yes
Vegas Golden Knights,away,6,33,18,6,0.0,0.0,2.0,42.4,3,6,14,5,yes
St. Louis Blues,home,1,32,18,4,0.0,0.0,3.0,57.6,5,10,23,-5,no
Edmonton Oilers,away,2,23,14,4,25.0,1.0,4.0,34.6,7,15,28,-1,no
Montréal Canadiens,home,3,32,9,8,0.0,0.0,2.0,65.4,11,12,28,1,yes
Toronto Maple Leafs,away,5,30,12,2,25.0,1.0,4.0,43.9,3,13,10,2,yes
Calgary Flames,home,3,29,9,8,0.0,0.0,1.0,56.1,3,9,21,-2,no
Colorado Avalanche,away,5,36,12,21,33.3,1.0,3.0,52.6,6,6,14,1,yes
Minnesota Wild,home,4,25,13,37,33.3,2.0,6.0,47.4,2,13,21,-1,no
Arizona Coyotes,away,5,33,10,6,50.0,3.0,6.0,40.0,1,2,20,3,yes
Los Angeles Kings,home,2,38,13,12,33.3,1.0,3.0,60.0,1,8,19,-3,no
Buffalo Sabres,away,5,18,7,6,50.0,1.0,2.0,53.8,6,5,21,2,yes
New Jersey Devils,home,3,30,6,4,33.3,1.0,3.0,46.2,8,6,12,-2,no
Washington Capitals,away,0,29,10,4,0.0,0.0,2.0,49.1,3,10,26,-1,no
New York Islanders,home,1,39,16,4,0.0,0.0,2.0,50.9,8,4,32,1,yes
Pittsburgh Penguins,away,4,45,8,10,33.3,1.0,3.0,59.0,4,6,18,-4,no
New York Rangers,home,8,25,15,10,100.0,3.0,3.0,41.0,13,14,26,4,yes
Boston Bruins,away,4,26,19,8,50.0,1.0,2.0,43.5,6,8,31,2,yes
Philadelphia Flyers,home,2,42,16,6,0.0,0.0,3.0,56.5,5,11,19,-2,no
Florida Panthers,away,2,36,12,8,0.0,0.0,2.0,41.9,3,14,41,-3,no
Carolina Hurricanes,home,5,36,8,4,50.0,2.0,4.0,58.1,5,20,36,3,yes
Tampa Bay Lightning,away,2,38,5,10,0.0,0.0,4.0,48.4,6,3,19,-2,no
Columbus Blue Jackets,home,4,30,14,8,20.0,1.0,5.0,51.6,10,7,24,2,yes
Nashville Predators,away,2,31,10,6,25.0,1.0,4.0,68.2,2,4,28,0,no
Detroit Red Wings,home,2,27,9,10,0.0,0.0,2.0,31.8,2,6,13,0,no
Dallas Stars,away,2,27,16,6,0.0,0.0,2.0,44.6,6,3,41,-2,no
Chicago Blackhawks,home,4,28,17,4,0.0,0.0,3.0,55.4,10,7,29,2,yes
Vancouver Canucks,away,0,24,15,6,0.0,0.0,2.0,47.9,5,10,18,-5,no
Winnipeg Jets,home,5,36,5,6,0.0,0.0,2.0,52.1,5,9,22,5,yes
Vegas Golden Knights,away,1,51,12,7,0.0,0.0,4.0,48.3,6,8,19,-2,no
St. Louis Blues,home,3,35,25,13,0.0,0.0,1.0,51.7,9,14,23,2,yes
Edmonton Oilers,away,4,35,15,4,33.3,1.0,3.0,38.3,6,16,25,2,yes
Ottawa Senators,home,2,30,8,6,0.0,0.0,2.0,61.7,5,13,35,-2,no
Montréal Canadiens,away,2,34,16,4,0.0,0.0,2.0,55.6,6,13,20,-1,no
Toronto Maple Leafs,home,3,32,20,4,0.0,0.0,2.0,44.4,12,29,12,1,yes
Colorado Avalanche,away,3,32,11,24,28.6,2.0,7.0,50.7,1,3,10,-5,no
Minnesota Wild,home,8,19,20,28,80.0,4.0,5.0,49.3,6,2,16,5,yes
Arizona Coyotes,away,3,27,9,2,0.0,0.0,2.0,39.2,5,2,27,-1,no
Los Angeles Kings,home,4,30,11,4,0.0,0.0,1.0,60.8,2,12,25,1,yes
New Jersey Devils,away,6,38,6,6,50.0,2.0,4.0,51.9,3,2,9,3,yes
Buffalo Sabres,home,3,27,11,8,33.3,1.0,3.0,48.1,5,1,13,-3,no
Philadelphia Flyers,away,2,27,10,19,0.0,0.0,2.0,55.9,1,11,14,0,no
New York Islanders,home,2,23,19,4,0.0,0.0,3.0,44.1,3,11,29,0,no
Pittsburgh Penguins,away,5,32,9,15,25.0,1.0,4.0,58.9,4,5,22,3,yes
New York Rangers,home,2,24,14,15,25.0,1.0,4.0,41.1,4,12,19,-3,no
Boston Bruins,away,4,32,18,21,25.0,1.0,4.0,58.3,11,2,19,2,yes
Washington Capitals,home,2,33,9,15,28.6,2.0,7.0,41.7,6,6,26,-2,no
Florida Panthers,away,0,24,8,12,0.0,0.0,4.0,58.3,4,8,39,-3,no
Carolina Hurricanes,home,3,22,9,12,25.0,1.0,4.0,41.7,5,14,24,3,yes
Tampa Bay Lightning,away,6,30,6,19,25.0,1.0,4.0,56.7,2,7,15,2,yes
Columbus Blue Jackets,home,4,36,12,13,0.0,0.0,2.0,43.3,10,10,23,-2,no
Nashville Predators,away,7,32,14,23,0.0,0.0,1.0,72.5,1,3,13,6,yes
Detroit Red Wings,home,1,26,5,11,0.0,0.0,2.0,27.5,2,4,10,-6,no
Dallas Stars,away,5,34,23,6,66.7,2.0,3.0,57.7,9,7,46,4,yes
Chicago Blackhawks,home,1,39,10,6,0.0,0.0,3.0,42.3,7,9,31,-4,no
Winnipeg Jets,away,4,27,12,6,0.0,0.0,3.0,41.4,5,18,21,2,yes
Montréal Canadiens,home,2,38,15,8,0.0,0.0,2.0,58.6,6,10,28,-2,no
Vancouver Canucks,away,2,21,8,6,20.0,1.0,5.0,47.5,9,11,9,-4,no
Calgary Flames,home,6,28,9,14,0.0,0.0,2.0,52.5,8,14,6,4,yes
New Jersey Devils,away,4,40,6,8,25.0,1.0,4.0,43.6,1,2,14,1,yes
Buffalo Sabres,home,3,32,14,8,50.0,2.0,4.0,56.4,7,10,14,-1,no
New York Rangers,away,4,36,16,2,0.0,0.0,0.0,50.0,1,8,12,3,yes
New York Islanders,home,1,32,10,0,0.0,0.0,1.0,50.0,1,11,21,-3,no
Minnesota Wild,away,1,25,9,4,0.0,0.0,2.0,45.3,7,14,18,-8,no
St. Louis Blues,home,9,38,15,4,50.0,1.0,2.0,54.7,9,14,7,8,yes
Edmonton Oilers,away,3,23,12,4,100.0,1.0,1.0,45.1,4,8,30,2,yes
Ottawa Senators,home,1,40,9,2,0.0,0.0,2.0,54.9,3,5,33,-2,no
Arizona Coyotes,away,4,26,12,4,50.0,1.0,2.0,49.1,9,4,43,-3,no
Vegas Golden Knights,home,7,37,19,4,50.0,1.0,2.0,50.9,5,7,25,3,yes
Colorado Avalanche,away,2,35,8,4,0.0,0.0,3.0,47.8,7,10,15,2,yes
Anaheim Ducks,home,0,28,12,6,0.0,0.0,2.0,52.2,5,14,26,-2,no
Los Angeles Kings,away,2,34,11,23,0.0,0.0,3.0,57.6,5,9,18,-3,no
San Jose Sharks,home,5,29,15,23,0.0,0.0,3.0,42.4,11,10,23,3,yes
Detroit Red Wings,away,4,28,15,4,0.0,0.0,2.0,48.3,3,13,18,0,no
Carolina Hurricanes,home,4,34,11,4,0.0,0.0,2.0,51.7,6,12,19,0,no
Chicago Blackhawks,away,4,28,14,2,20.0,1.0,5.0,54.2,6,9,9,1,yes
