,Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,Stoppage,Period Start,Official Challenge,won
209,0,1,0,2,1,0,0,0,0,0,,,no
210,0,3,0,1,1,0,0,1,0,0,,,no
211,0,3,0,1,0,0,1,0,0,0,,,no
212,0,0,0,0,0,0,0,0,0,0,,,no
213,0,1,0,1,0,0,0,2,0,0,,,no
214,0,3,0,2,0,0,2,0,0,0,,,no
215,0,0,0,1,0,1,1,0,0,0,,,yes
216,0,1,1,0,0,0,1,1,1,0,0.0,,no
217,0,1,0,2,0,0,1,0,0,0,,,yes
218,0,2,0,3,0,0,0,0,0,0,,,yes
219,0,0,0,0,0,1,1,0,0,0,,,no
220,0,2,0,1,0,0,1,0,0,0,0.0,,yes
221,0,2,0,0,0,0,1,0,0,0,,,no
222,0,0,0,1,0,1,2,0,0,0,,,no
223,0,0,0,0,0,0,0,1,0,0,,,yes
224,0,0,0,2,1,0,0,1,0,0,,,no
225,0,2,0,1,1,0,2,1,1,0,,,yes
226,0,2,0,1,0,0,0,3,0,0,,,no
227,0,0,0,1,0,0,3,0,0,0,,,no
228,0,2,0,1,1,1,2,0,0,0,,,no
229,0,2,0,0,0,0,0,0,0,0,,,yes
230,0,0,0,1,0,2,1,1,0,0,,,yes
231,0,0,1,1,0,0,1,0,0,0,,,no
232,0,1,0,1,0,0,2,0,0,0,,,no
233,0,0,0,0,0,1,1,0,0,0,,,yes
234,0,1,0,3,0,2,1,1,1,0,,,no
235,0,1,1,0,0,0,1,1,1,0,,,yes
236,0,0,1,0,0,0,1,0,0,0,0.0,,no
237,0,2,0,1,0,1,0,0,0,0,,,yes
238,0,0,1,1,1,0,2,2,0,0,,,no
239,0,0,0,1,0,2,0,1,0,0,,,yes
240,0,0,0,1,1,0,1,0,0,0,0.0,,no
241,0,0,0,0,0,0,2,0,0,0,,,yes
242,0,1,0,1,0,1,0,1,0,0,,,no
243,0,0,0,2,1,0,1,0,1,0,,,yes
244,0,0,1,2,0,1,0,1,0,0,,,yes
245,0,1,0,1,0,0,0,1,0,0,,,no
246,0,0,0,0,0,0,0,0,0,0,0.0,,no
247,0,0,0,0,1,0,0,0,0,0,,,no
248,0,2,0,2,0,0,0,0,0,0,,,yes
249,0,0,0,1,0,1,0,0,1,0,,,no
250,0,0,1,0,0,1,0,1,0,0,0.0,,no
251,0,1,0,0,0,0,0,2,0,0,,,yes
252,0,3,0,1,0,0,0,0,0,0,,,no
253,0,0,0,0,1,0,2,3,0,0,,,yes
254,0,0,0,1,0,0,1,1,0,0,,,no
255,0,1,0,1,0,1,1,1,0,0,,,yes
256,0,0,0,0,0,0,1,0,0,0,,,no
257,0,1,0,3,0,0,2,0,0,0,,,yes
258,0,0,0,3,0,0,0,1,0,0,,,yes
259,0,0,0,0,0,0,2,1,1,0,,,no
260,0,2,0,1,0,0,1,0,0,0,,,yes
261,0,1,1,2,0,0,1,0,0,0,,,no
262,1,0,1,3,0,3,2,0,0,0,,,yes
263,0,4,0,4,0,0,0,1,0,0,,,no
264,0,1,1,1,0,0,1,1,0,0,0.0,,no
265,0,0,0,0,1,1,0,0,0,0,,,yes
266,0,0,0,0,0,0,1,1,0,0,0.0,,yes
267,0,0,0,0,1,0,1,0,0,0,,,no
268,2,3,0,1,0,1,1,0,0,0,,,yes
269,0,0,0,4,0,1,2,0,0,0,,,no
270,1,0,0,2,0,0,0,0,0,0,0.0,,yes
271,0,0,0,2,0,1,1,1,0,0,,,no
272,0,0,0,0,0,1,4,0,0,0,0.0,,no
273,0,0,0,0,0,0,1,1,0,0,,,yes
274,0,2,0,1,0,0,1,0,1,0,,,no
275,1,2,1,4,0,0,2,1,0,0,,,no
