Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
-2,5,2,16,-3,-1,13,-3,-1,no
-1,5,-9,13,1,8,2,7,-3,no
5,-1,4,0,2,13,-9,7,-1,yes
2,-1,7,3,3,0,8,-3,2,yes
3,-2,8,1,7,3,1,-6,-1,yes
0,7,-11,7,-1,-1,1,0,-2,no
-1,18,4,-2,0,0,9,-6,2,no
-2,-2,-5,0,4,4,1,0,-1,no
-2,-4,3,-8,-7,10,2,-4,-2,no
3,-15,13,5,3,-2,-6,-9,1,yes
3,-11,-4,8,4,3,2,0,1,yes
0,-2,-8,0,3,9,-3,3,1,no
1,0,-4,-7,-1,2,1,-8,2,yes
0,8,-1,5,0,-4,-4,4,2,no
-2,4,8,8,4,4,0,-6,-2,no
1,-4,7,-14,0,6,0,-10,-1,yes
-1,-10,0,-5,-1,1,3,-1,-1,no
-1,-4,-2,-2,0,-2,-5,-10,2,no
2,-14,-1,1,-2,2,-10,1,2,yes
4,-14,-16,2,8,0,-18,-8,2,yes
5,-3,9,8,2,6,2,-1,-1,yes
1,-7,1,-3,9,5,6,3,2,yes
-4,5,-2,1,-3,-3,-3,2,1,no
-1,16,-8,6,0,1,1,4,0,no
0,3,0,3,4,4,2,9,1,yes
-1,4,-1,2,0,-3,-1,2,0,yes
0,4,-3,8,1,3,12,6,2,no
5,3,-9,5,3,4,-10,7,2,yes
0,7,7,-8,-11,3,10,0,1,yes
1,-2,9,5,3,1,7,-5,-2,no
0,3,9,-14,-1,3,12,-10,0,no
-2,11,-8,-1,1,-4,-1,-4,0,no
-5,-5,-3,-3,2,-4,4,1,1,no
1,-8,4,9,0,7,-6,6,0,no
-2,7,-10,10,1,7,2,3,1,no
2,6,0,11,4,-3,4,3,0,yes
1,-15,4,4,-2,5,-3,-4,1,no
0,-3,2,3,2,-1,4,9,0,yes
-3,6,-1,-1,1,5,19,-2,2,no
4,-16,2,-2,-1,4,-2,-3,0,yes
-2,7,-1,-8,-7,2,-9,5,-1,no
2,-25,7,-8,-1,2,5,-3,0,yes
-1,10,-4,-3,4,2,18,-2,-2,no
1,-13,-8,0,4,4,-13,-1,-1,yes
-1,-6,-13,-1,3,3,-14,-2,1,no
4,0,4,-11,-3,-1,-8,-9,-4,yes
-1,-9,-5,-4,9,4,8,-2,-2,no
-2,-1,-2,12,1,2,-5,-1,-2,no
2,15,1,-13,4,-3,8,-3,1,yes
1,4,-4,3,1,5,10,3,-2,yes
-5,13,-5,-1,4,2,9,7,0,no
-1,2,-9,13,3,1,0,-1,-1,yes
-3,-6,2,-8,0,6,4,6,1,no
0,-2,15,3,3,-1,-30,2,-1,no
0,2,-12,-1,5,-4,3,2,0,no
1,25,-8,9,4,4,-3,4,2,yes
-1,10,-5,0,6,8,-3,3,1,no
0,3,15,-1,-1,4,22,2,0,no
-1,14,1,8,0,8,-2,-3,0,no
-4,2,0,0,4,0,-3,-1,-2,no
1,5,9,19,4,8,-4,0,2,yes
1,-7,-5,-7,4,-1,1,-2,-2,yes
-1,8,0,3,2,6,2,1,1,no
-2,-4,-1,-5,1,-2,-4,-1,0,no
0,8,4,4,0,2,2,7,1,no
1,7,6,-1,2,10,-6,1,0,no
-1,19,1,1,1,2,22,6,0,no
-1,2,5,12,2,1,-7,7,-3,no
-1,17,-7,0,-4,2,-1,0,1,no
1,-5,5,0,-2,-1,14,-5,-1,yes
1,2,2,3,4,2,4,-5,-1,yes
-2,-1,-11,-2,4,9,9,5,0,no
-2,-2,3,-2,0,5,-9,5,3,no
4,-10,0,13,5,-1,-7,5,1,yes
-2,11,-1,5,2,0,9,5,1,no
-2,-16,-1,1,1,-3,6,0,3,no
0,7,-1,-3,2,-5,0,-2,0,no
0,5,-3,1,11,0,6,7,1,no
2,0,2,4,-1,4,-20,2,0,yes
-1,5,-1,14,-1,-3,9,7,0,no
1,-1,5,1,1,7,-16,-4,0,yes
-4,4,-3,-12,-4,-1,5,12,-1,no
1,-5,10,6,3,10,4,-3,1,yes
-2,0,5,11,-1,2,-2,2,3,no
-1,-9,-8,-9,-1,-1,3,5,0,no
2,2,1,1,10,11,-8,4,0,yes
2,-13,10,-10,2,2,14,-2,1,yes
-1,2,-12,5,4,-9,-3,-3,-2,yes
3,-9,5,3,5,2,-28,-4,-1,yes
-1,10,-2,-7,0,1,4,-5,1,no
0,-13,-6,1,7,-3,13,-6,0,no
-1,-8,0,-1,1,-2,-6,2,3,no
2,11,-7,3,11,-8,12,8,-1,yes
-5,-5,4,7,-5,8,-9,7,-2,no
-1,-5,-5,1,3,11,-8,5,-1,no
-1,-3,-8,-5,4,2,4,5,0,no
-2,-4,-14,-9,5,5,-6,-3,-2,no
-2,5,3,-11,1,3,7,4,0,no
1,11,-3,12,5,18,-12,4,0,no
1,-14,3,-13,10,4,-21,-1,0,yes
-2,-18,10,-16,2,6,-15,-6,3,no
-1,4,-3,-1,-4,6,0,-1,-3,no
-3,9,0,-4,-1,10,28,3,2,no
6,-26,2,-11,1,6,9,-1,0,yes
-2,-8,-2,-2,7,9,-1,0,-1,no
1,7,3,1,-1,-2,-8,0,0,yes
-1,3,-8,-11,1,3,8,9,-1,no
-4,0,-3,-16,-1,2,12,9,-1,no
3,12,5,2,5,0,-9,2,0,yes
0,-2,-14,9,0,-1,16,6,-1,no
1,-13,9,4,0,-1,4,-1,1,yes
0,1,4,6,2,4,3,0,-1,yes
-1,4,-9,6,3,4,-8,8,0,no
-3,4,-3,-3,1,4,3,-5,1,no
2,2,5,-9,-1,2,9,-2,1,yes
-2,-1,2,11,-8,-9,19,-4,1,no
-3,4,-7,-11,3,7,-10,13,-1,no
-3,9,-6,6,2,5,-3,1,2,no
1,-2,2,-6,0,-1,-3,-5,0,yes
-4,18,-10,10,-4,26,12,-4,-6,no
0,-14,4,-6,2,5,15,-3,0,no
-2,19,-5,1,4,0,4,0,1,no
0,-10,7,-6,5,1,-1,-1,-1,no
-2,-10,1,-6,-1,6,-15,0,3,no
0,6,-4,-7,1,0,0,0,0,no
-1,4,-3,9,0,6,-9,-3,1,no
1,11,-8,16,2,-5,4,2,-2,yes
-2,11,6,8,-1,2,6,-4,-3,no
0,17,0,8,4,4,-15,8,-2,yes
-1,-1,2,7,8,1,-5,-3,0,no
4,-7,-7,0,0,9,2,-5,1,yes
1,5,-10,13,0,2,1,-3,1,yes
1,-12,6,-3,-2,1,7,-4,0,yes
0,-3,3,-9,0,-2,0,10,1,yes
-1,4,0,15,-4,5,11,5,-2,no
1,-8,-3,6,4,6,3,-1,0,yes
5,-4,7,-4,7,6,-4,-1,0,yes
2,8,-3,11,3,-5,-5,3,-2,yes
-2,2,-4,-8,-1,2,1,9,0,no
-3,-7,2,-6,1,3,3,-12,1,no
-3,-15,5,-12,2,-2,2,4,1,no
4,-2,2,-1,4,-7,7,-2,-1,yes
3,5,4,-3,3,3,-1,13,0,yes
-4,0,-10,8,-1,-9,13,7,0,no
0,-8,2,-10,3,2,3,-3,2,yes
-2,1,-1,0,-2,11,-7,1,-1,no
0,-4,-2,2,1,-1,5,-3,4,no
5,-2,6,-6,2,-2,0,0,4,yes
