goal_diff,won,game_ids,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt
1,yes,2020020113,1,3,0,-2,0.0,0.0,1.0,-1.7999999999999972,6,8,-2,-506.0
0,no,2020020114,0,-4,3,-4,33.3,1.0,2.0,-8.799999999999997,-3,3,9,-25.0
2,yes,2020020115,2,-4,0,2,41.7,1.0,-1.0,0.0,-5,6,-8,-1825.0
-1,no,2020020116,-1,2,-4,-6,-21.4,0.0,3.0,5.799999999999997,-1,3,-6,-1344.0
3,yes,2020020117,3,-12,8,2,25.0,1.0,-1.0,9.0,1,2,-14,-509.0
2,yes,2020020118,2,-7,15,17,-28.6,-2.0,-3.0,-10.200000000000003,3,-1,1,-1738.0
4,yes,2020020119,4,6,14,8,35.7,0.0,-5.0,0.0,7,6,6,300.0
3,yes,2020020120,3,17,-3,0,25.0,1.0,0.0,10.400000000000006,2,3,-3,1619.0
1,yes,2020020121,1,18,-5,-6,-30.0,0.0,3.0,13.200000000000003,1,2,8,-3240.0
4,yes,2020020122,4,19,2,-2,66.7,2.0,1.0,-5.0,10,-2,2,3079.0
-1,no,2020020123,-1,5,-10,-2,-16.700000000000003,0.0,1.0,14.799999999999997,1,4,-7,1638.0
0,no,2020020124,0,-3,0,0,0.0,0.0,0.0,21.799999999999997,7,-5,0,529.0
-1,no,2020020125,-1,-4,4,-2,20.0,1.0,1.0,-14.799999999999997,2,8,3,816.0
1,yes,2020020126,1,-11,3,6,0.0,0.0,-3.0,0.0,0,0,-7,-3438.0
1,yes,2020020127,1,-20,16,6,75.0,0.0,-3.0,-10.200000000000003,3,0,23,-1313.0
3,yes,2020020128,3,15,-2,2,43.3,2.0,-1.0,6.0,1,-5,-12,682.0
1,yes,2020020129,1,7,0,-4,-11.399999999999999,0.0,2.0,23.599999999999994,3,2,4,-233.0
-1,no,2020020130,-1,1,4,-2,-66.7,-2.0,1.0,5.0,3,1,-5,1057.0
-2,no,2020020131,-2,4,-13,2,-16.7,-1.0,-1.0,-5.0,-2,3,-6,1132.0
-3,no,2020020132,-3,-15,0,4,0.0,0.0,-2.0,-10.0,2,8,-4,-252.0
1,yes,2020020133,1,2,-6,0,0.0,0.0,0.0,16.200000000000003,1,2,2,-170.0
-4,no,2020020134,-4,-13,14,10,-28.6,-2.0,-5.0,4.599999999999994,2,-1,16,-1221.0
-5,no,2020020135,-5,-6,-1,-2,-50.0,-1.0,1.0,-2.0,-1,1,1,-1397.0
-2,no,2020020136,-2,-4,1,-2,50.0,2.0,1.0,16.200000000000003,-1,6,6,615.0
1,yes,2020020137,1,-7,-3,4,8.3,0.0,-2.0,1.7999999999999972,0,-6,-4,-1655.0
0,no,2020020138,0,11,-2,0,20.0,1.0,0.0,5.799999999999997,3,0,-14,2846.0
-1,no,2020020139,-1,4,0,2,-50.0,-2.0,-1.0,-3.5999999999999943,-2,-3,-5,661.0
2,yes,2020020140,2,3,0,0,0.0,0.0,0.0,-7.0,-2,1,-9,-778.0
3,yes,2020020141,3,-7,2,0,40.0,2.0,0.0,18.200000000000003,5,-2,-5,1884.0
1,yes,2020020142,1,8,6,2,0.0,0.0,-1.0,6.0,1,5,5,512.0
-3,no,2020020143,-3,3,5,0,0.0,0.0,0.0,10.400000000000006,1,4,5,-1499.0
2,yes,2020020144,2,-2,7,4,25.0,1.0,-2.0,-41.599999999999994,2,0,1,-1180.0
-2,no,2020020145,-2,-7,11,0,25.0,1.0,0.0,0.0,1,9,-10,1129.0
3,yes,2020020146,3,-3,6,-2,25.0,1.0,1.0,-11.599999999999994,7,-1,-1,-98.0
4,yes,2020020147,4,11,4,0,33.3,1.0,0.0,1.7999999999999972,-4,8,-4,376.0
0,no,2020020148,0,0,-1,-4,50.0,2.0,2.0,0.0,8,0,2,-915.0
-2,no,2020020149,-2,-1,5,4,-60.0,-3.0,-2.0,-18.599999999999994,-1,2,4,76.0
1,yes,2020020150,1,-13,2,2,16.700000000000003,0.0,-1.0,8.400000000000006,-2,-1,7,-448.0
-1,no,2020020151,-1,1,3,0,0.0,0.0,0.0,-3.799999999999997,-1,7,2,-93.0
-3,no,2020020152,-3,-7,-7,0,-33.400000000000006,-1.0,0.0,-12.799999999999997,4,7,2,453.0
0,no,2020020153,0,-8,8,-2,50.0,1.0,1.0,-11.799999999999997,0,0,-6,-659.0
1,yes,2020020154,1,-6,-3,-4,-50.0,-1.0,3.0,11.799999999999997,1,0,-2,764.0
2,yes,2020020155,2,-6,-2,-2,-33.3,-1.0,1.0,2.799999999999997,0,5,-6,-518.0
1,yes,2020020156,1,-3,14,4,0.0,0.0,-2.0,-13.799999999999997,4,10,1,-1324.0
2,yes,2020020157,2,0,0,6,0.0,0.0,-3.0,-5.0,-1,7,-9,539.0
1,yes,2020020158,1,3,-9,0,-33.3,-1.0,0.0,16.599999999999994,-6,5,-6,457.0
-1,no,2020020159,-1,-10,5,4,-75.0,-3.0,-2.0,7.400000000000006,-5,5,1,-1103.0
4,yes,2020020160,4,11,-2,0,0.0,0.0,0.0,-8.0,3,3,3,-520.0
-2,no,2020020161,-2,-22,3,0,0.0,0.0,0.0,-9.0,2,11,2,-1928.0
-6,no,2020020162,-6,-25,-1,6,0.0,0.0,-3.0,0.0,6,-2,15,2457.0
3,yes,2020020163,3,27,2,-6,0.0,0.0,3.0,12.400000000000006,2,5,-13,-2652.0
2,yes,2020020164,2,-2,9,4,0.0,0.0,-1.0,-8.799999999999997,5,4,3,405.0
-1,no,2020020165,-1,-5,4,0,0.0,0.0,0.0,-21.400000000000006,0,-2,1,-1173.0
1,yes,2020020166,1,2,9,4,25.0,0.0,-2.0,9.400000000000006,3,1,2,-106.0
1,yes,2020020167,1,-3,12,0,-33.3,-1.0,0.0,1.7999999999999972,-1,6,9,1251.0
2,yes,2020020168,2,1,10,-2,60.0,3.0,1.0,-24.599999999999994,3,8,2,114.0
-1,no,2020020169,-1,13,-16,-4,0.0,0.0,2.0,23.0,-3,-2,5,-2803.0
-1,no,2020020170,-1,16,-1,0,-25.0,-1.0,0.0,-13.799999999999997,-1,-2,9,3525.0
4,yes,2020020171,4,18,-2,-4,-13.299999999999997,0.0,2.0,12.200000000000003,-8,-7,-12,1677.0
3,yes,2020020172,3,3,5,2,0.0,0.0,-1.0,13.599999999999994,2,-4,3,-976.0
-4,no,2020020173,-4,7,-15,-4,25.0,1.0,2.0,1.5999999999999943,-4,4,3,1781.0
-1,no,2020020174,-1,1,-1,-6,20.0,1.0,3.0,-15.799999999999997,-4,-5,-6,2427.0
2,yes,2020020175,2,4,2,-2,0.0,0.0,1.0,-6.400000000000006,0,0,3,-107.0
1,yes,2020020176,1,11,-1,-2,0.0,0.0,1.0,19.400000000000006,-4,7,15,-352.0
3,yes,2020020177,3,7,3,-4,-25.0,0.0,2.0,7.599999999999994,-1,7,-9,-925.0
0,no,2020020178,0,7,8,0,0.0,0.0,0.0,14.799999999999997,-1,1,-14,235.0
1,yes,2020020179,1,9,-2,-4,-33.3,-1.0,2.0,13.0,-2,0,8,-2203.0
-5,no,2020020180,-5,17,-9,-4,-50.0,-1.0,2.0,28.599999999999994,2,4,1,-3422.0
1,yes,2020020181,1,-5,0,-2,100.0,1.0,1.0,7.0,0,-2,-9,892.0
-1,no,2020020182,-1,6,0,-2,16.700000000000003,1.0,1.0,31.199999999999996,-3,0,12,-777.0
-1,no,2020020183,-1,3,-9,-6,-16.599999999999998,0.0,3.0,14.200000000000003,1,10,1,-1978.0
4,yes,2020020184,4,3,5,0,0.0,0.0,0.0,7.200000000000003,2,11,-9,1060.0
2,yes,2020020185,2,-4,9,4,13.299999999999997,0.0,-2.0,-1.4000000000000057,4,0,8,-407.0
3,yes,2020020186,3,-5,8,-15,0.0,0.0,-1.0,-1.7999999999999972,7,3,3,-1811.0
0,no,2020020187,0,6,-12,-4,0.0,0.0,2.0,10.0,-1,-2,0,-1220.0
-3,no,2020020188,-3,14,3,6,100.0,1.0,-3.0,-4.599999999999994,0,0,10,919.0
-3,no,2020020189,-3,-2,-6,-2,0.0,0.0,1.0,1.7999999999999972,4,5,1,1433.0
-1,no,2020020190,-1,-4,2,-6,-30.0,0.0,3.0,-11.400000000000006,-6,9,1,-307.0
3,yes,2020020191,3,-12,18,4,25.0,0.0,-2.0,2.0,3,-4,-8,3111.0
3,yes,2020020192,3,-8,-4,2,75.0,2.0,-1.0,14.799999999999997,4,4,1,-136.0
-1,no,2020020193,-1,-4,-7,2,-25.0,-1.0,-1.0,0.0,4,8,-4,-366.0
1,yes,2020020194,1,1,-3,4,50.0,1.0,-2.0,-16.400000000000006,-1,2,-1,-1747.0
0,no,2020020195,0,11,0,2,0.0,0.0,-2.0,11.799999999999997,0,-5,-1,-1594.0
-2,no,2020020196,-2,0,5,-4,0.0,0.0,2.0,22.799999999999997,4,6,0,-13.0
1,yes,2020020197,1,-2,10,0,0.0,0.0,0.0,-23.599999999999994,0,6,-2,864.0
-3,no,2020020198,-3,-11,1,-2,-8.299999999999997,0.0,1.0,-5.400000000000006,-1,2,4,694.0
-2,no,2020020199,-2,-7,-6,4,0.0,0.0,-2.0,-3.799999999999997,1,-1,-6,2976.0
2,yes,2020020200,2,-13,4,4,-25.0,-1.0,-2.0,0.0,-1,4,-10,-1629.0
1,yes,2020020201,1,-7,-8,2,50.0,0.0,-1.0,-6.0,4,1,-8,3806.0
5,yes,2020020202,5,2,9,-2,100.0,3.0,1.0,15.200000000000003,2,6,2,-724.0
1,yes,2020020203,1,-10,2,4,100.0,1.0,-2.0,-9.599999999999994,9,5,7,36.0
-5,no,2020020204,-5,3,-4,12,-60.0,-3.0,-1.0,1.7999999999999972,-5,-1,-4,-942.0
-1,no,2020020205,-1,20,-7,-2,0.0,0.0,1.0,12.400000000000006,-1,1,-1,-1348.0
1,yes,2020020206,1,2,-2,0,0.0,0.0,0.0,11.200000000000003,5,6,2,1507.0
1,yes,2020020207,1,7,-1,0,0.0,0.0,0.0,8.400000000000006,0,-5,-4,1132.0
-1,no,2020020208,-1,6,-6,4,-25.0,-1.0,-2.0,20.799999999999997,2,3,14,771.0
6,yes,2020020209,6,7,-9,12,33.3,1.0,-2.0,10.400000000000006,3,5,-14,-391.0
1,yes,2020020210,1,8,9,2,-50.0,-1.0,-1.0,-19.200000000000003,-12,3,10,-1067.0
0,no,2020020211,0,-13,9,-4,25.0,1.0,2.0,0.0,3,4,6,-31.0
-1,no,2020020212,-1,3,8,0,0.0,0.0,0.0,-38.0,0,0,8,20.0
-2,no,2020020213,-2,11,-9,0,0.0,0.0,0.0,-5.799999999999997,0,-5,0,679.0
-6,no,2020020214,-6,-7,-5,2,0.0,0.0,-1.0,-11.599999999999994,3,-4,4,-749.0
0,no,2020020215,0,-6,6,0,100.0,1.0,0.0,12.200000000000003,1,6,-6,382.0
0,no,2020020216,0,4,-9,4,0.0,0.0,-2.0,13.400000000000006,4,7,3,1545.0
