Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,14,16,33,6,6,14,10,4,yes
1,30,9,12,6,6,14,8,2,no
3,26,12,26,3,5,19,9,2,no
5,17,17,24,4,1,14,13,2,yes
0,32,14,27,8,10,26,14,4,no
0,32,13,24,13,16,24,16,3,yes
2,28,6,27,9,6,17,11,5,no
2,26,13,22,5,7,23,16,3,no
0,23,17,27,4,9,24,10,5,no
4,17,15,26,0,15,17,3,5,yes
4,22,13,23,7,20,22,11,6,yes
3,22,10,24,7,21,17,12,4,no
1,34,9,19,7,5,34,11,5,no
4,20,19,23,8,6,19,14,5,yes
3,29,7,26,4,5,8,10,6,no
5,22,22,19,7,4,9,8,8,yes
3,18,7,26,1,8,8,8,3,no
5,20,20,28,8,15,13,7,7,yes
0,19,17,24,4,1,15,14,3,no
2,34,15,30,3,4,12,20,3,yes
2,14,17,22,4,10,17,6,5,no
3,31,12,29,5,11,26,22,2,yes
1,15,15,29,8,5,23,6,2,no
4,28,17,26,19,3,24,17,2,yes
2,24,20,17,1,6,21,4,3,yes
1,27,11,25,2,11,14,9,2,no
3,29,10,22,5,7,16,11,4,no
3,24,10,35,11,1,16,6,5,no
4,30,9,29,4,11,21,8,5,yes
4,29,10,22,4,15,22,10,4,no
2,24,11,17,4,9,31,13,1,no
2,11,13,19,4,9,19,10,4,yes
2,36,10,26,7,9,14,18,1,no
3,17,25,21,10,9,36,10,4,yes
1,9,14,28,2,10,35,10,5,no
4,22,11,34,4,5,25,17,5,yes
2,21,11,19,0,0,17,2,10,no
4,29,8,32,3,2,20,10,8,yes
2,22,7,23,4,9,18,12,4,yes
2,22,11,30,6,9,14,13,3,no
1,29,21,29,5,12,23,5,7,yes
0,35,9,28,3,14,17,16,8,no
3,33,11,30,5,6,13,7,3,yes
1,20,12,25,8,15,8,17,5,no
3,23,16,23,7,8,17,7,3,no
3,25,10,31,9,10,19,13,2,yes
5,28,4,29,5,3,5,11,2,yes
1,17,18,31,6,2,20,9,5,no
6,23,10,22,5,15,24,9,4,yes
1,22,9,20,4,16,25,12,3,no
4,31,7,24,9,3,8,13,4,yes
3,30,8,32,8,10,13,15,3,no
3,29,10,23,4,10,18,11,3,no
3,19,7,27,3,5,14,15,6,yes
3,21,11,27,6,5,29,9,5,no
2,33,7,33,10,6,15,9,4,no
3,27,8,25,3,5,15,13,4,yes
1,28,9,24,1,2,10,8,5,no
1,31,14,23,9,11,39,5,3,no
3,33,13,20,7,11,26,5,3,yes
5,31,12,24,1,8,19,13,5,no
8,22,13,37,6,6,14,9,5,yes
3,22,7,28,2,0,8,13,3,no
3,26,14,29,2,5,13,10,4,yes
4,16,14,26,3,10,24,8,2,yes
1,22,22,27,5,16,30,11,2,no
1,23,12,32,4,7,23,13,5,no
2,21,18,13,7,7,23,9,7,yes
3,28,8,25,7,2,26,11,5,yes
3,22,17,25,9,10,17,13,5,no
2,27,10,26,0,3,19,7,4,no
4,21,15,21,5,2,18,11,3,yes
2,25,8,28,7,11,26,8,3,no
6,30,13,24,3,17,24,10,3,yes
