,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,home_status,time_stamp,period,period_time
86,19,6,0,100.0,1.0,1.0,46.7,1,1,26,away,20210611_023119,2,13:19
87,12,23,2,0.0,0.0,0.0,53.3,14,10,30,home,20210611_023119,2,13:19
88,20,6,0,100.0,1.0,1.0,48.4,1,1,27,away,20210611_023218,2,14:02
89,12,23,2,0.0,0.0,0.0,51.6,14,11,32,home,20210611_023218,2,14:02
90,20,6,0,100.0,1.0,1.0,48.4,1,1,27,away,20210611_023316,2,14:02
91,12,23,2,0.0,0.0,0.0,51.6,14,11,32,home,20210611_023316,2,14:02
92,20,6,0,100.0,1.0,1.0,48.4,1,1,27,away,20210611_023426,2,14:02
93,12,23,2,0.0,0.0,0.0,51.6,14,11,32,home,20210611_023426,2,14:02
94,20,6,0,100.0,1.0,1.0,48.4,1,1,27,away,20210611_023525,2,14:24
95,13,23,2,0.0,0.0,0.0,51.6,14,11,32,home,20210611_023525,2,14:24
96,20,7,0,100.0,1.0,1.0,46.9,1,1,27,away,20210611_023623,2,14:27
97,14,23,2,0.0,0.0,0.0,53.1,14,11,32,home,20210611_023623,2,14:27
98,20,7,0,100.0,1.0,1.0,44.1,1,1,27,away,20210611_023723,2,15:05
99,14,23,2,0.0,0.0,0.0,55.9,14,11,32,home,20210611_023723,2,15:05
